('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         667323 function calls (646641 primitive calls) in 5.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        1    0.000    0.000    5.438    5.438 financial_enhanced.py:40(main)
        1    0.000    0.000    0.066    0.066 dammit.py:1(<module>)
      477    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f819e281ea0}
      306    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      556    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      787    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      787    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:666(reset)
        1    0.000    0.000    0.091    0.091 client.py:206(_read_headers)
      100    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
    146/5    0.000    0.000    0.167    0.033 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      276    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      110    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       98    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:569(parse_pseudo_class)
       47    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       40    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    5.605    5.605 financial_enhanced.py:1(<module>)
        1    0.000    0.000    0.005    0.005 models.py:1(<module>)
      181    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      179    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       29    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      188    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       44    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.058    0.058 css_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        1    0.000    0.000    3.104    3.104 client.py:939(connect)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      127    0.000    0.000    0.007    0.000 sre_parse.py:97(closegroup)
      181    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      280    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        2    0.000    0.000    0.009    0.004 _htmlparser.py:377(prepare_markup)
        1    0.000    0.000    0.009    0.009 dammit.py:775(__init__)
      201    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
    40/30    0.000    0.000    0.066    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:302(makefile)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      287    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      229    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      239    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.993    0.993 client.py:311(begin)
      198    0.000    0.000    0.000    0.000 enum.py:801(value)
      280    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      113    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
        2    0.000    0.000    0.008    0.004 utils.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        1    0.000    0.000    0.026    0.026 request.py:1(<module>)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.008    0.008 dammit.py:930(_convert_from)
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
        1    0.000    0.000    0.133    0.133 element.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
      153    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       92    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
        5    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 ssl.py:1255(sendall)
        1    0.000    0.000    0.000    0.000 dammit.py:683(find_declared_encoding)
      279    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       41    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       17    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
    16/12    0.000    0.000    0.071    0.006 {built-in method builtins.__import__}
        1    0.000    0.000    0.109    0.109 ssl.py:1364(do_handshake)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.245    0.245 financial_enhanced.py:21(find_field)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
   114/96    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        1    0.000    0.000    3.104    3.104 socket.py:808(create_connection)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
