('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
    164/1    0.000    0.000    9.827    9.827 {built-in method builtins.exec}
     1031    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1016    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       19    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
     1486    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      486    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
       57    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       61    0.000    0.000    0.003    0.000 typing.py:483(Union)
     2577    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
      201    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      191    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      176    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      741    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
       71    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
     1486    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      652    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      415    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      266    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      193    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      191    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1174    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      798    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
